user_id,date,count
41863,2010-01-01,14
45041,2010-01-01,26
2368,2010-01-01,38
45046,2010-01-01,106
45049,2010-01-01,58
2363,2010-01-01,379
2361,2010-01-01,8
45057,2010-01-01,160
45061,2010-01-01,40
45072,2010-01-01,40
45079,2010-01-01,117
2369,2010-01-01,27
2331,2010-01-01,69
2299,2010-01-01,43
45083,2010-01-01,23
45099,2010-01-01,9
2259,2010-01-01,224
45105,2010-01-01,299
2251,2010-01-01,15
45174,2010-01-01,33
2231,2010-01-01,5
45175,2010-01-01,24
45177,2010-01-01,74
45080,2010-01-01,25
2228,2010-01-01,9
2370,2010-01-01,17
2377,2010-01-01,170
44934,2010-01-01,1
2491,2010-01-01,66
44949,2010-01-01,325
2488,2010-01-01,11
44951,2010-01-01,18
44953,2010-01-01,15
44954,2010-01-01,11
2462,2010-01-01,7
2452,2010-01-01,1
44976,2010-01-01,62
2374,2010-01-01,38
2443,2010-01-01,300
44988,2010-01-01,11
44994,2010-01-01,19
44996,2010-01-01,157
2394,2010-01-01,187
2391,2010-01-01,42
2386,2010-01-01,8
44998,2010-01-01,73
45008,2010-01-01,129
2381,2010-01-01,2
45024,2010-01-01,18
44981,2010-01-01,1
45183,2010-01-01,73
45208,2010-01-01,27
2203,2010-01-01,2
45533,2010-01-01,24
45554,2010-01-01,10
45558,2010-01-01,20
45577,2010-01-01,40
45579,2010-01-01,16
45580,2010-01-01,30
1842,2010-01-01,36
45584,2010-01-01,6
45658,2010-01-01,118
1804,2010-01-01,51
45530,2010-01-01,22
45660,2010-01-01,23
1777,2010-01-01,23
1771,2010-01-01,8
45665,2010-01-01,14
45675,2010-01-01,32
1764,2010-01-01,12
45692,2010-01-01,83
45704,2010-01-01,175
1726,2010-01-01,32
45708,2010-01-01,98
1709,2010-01-01,215
45662,2010-01-01,255
1909,2010-01-01,74
45521,2010-01-01,18
1928,2010-01-01,3
45261,2010-01-01,15
2122,2010-01-01,125
45263,2010-01-01,35
2094,2010-01-01,57
2093,2010-01-01,3
45293,2010-01-01,86
2072,2010-01-01,41
45309,2010-01-01,102
45334,2010-01-01,11
45345,2010-01-01,15
45360,2010-01-01,7
2008,2010-01-01,21
45364,2010-01-01,22
2007,2010-01-01,32
45365,2010-01-01,15
1980,2010-01-01,16
45390,2010-01-01,99
45407,2010-01-01,43
45420,2010-01-01,59
45425,2010-01-01,566
45438,2010-01-01,4
1942,2010-01-01,42
45490,2010-01-01,6
44912,2010-01-01,33
45716,2010-01-01,122
2531,2010-01-01,19
2597,2010-01-01,47
3175,2010-01-01,25
43762,2010-01-01,499
3160,2010-01-01,13
43768,2010-01-01,55
3154,2010-01-01,4
3141,2010-01-01,12
43828,2010-01-01,27
3132,2010-01-01,3
3109,2010-01-01,12
43853,2010-01-01,181
3178,2010-01-01,77
43894,2010-01-01,69
3067,2010-01-01,14
3025,2010-01-01,8
3010,2010-01-01,10
3002,2010-01-01,10
43961,2010-01-01,25
2994,2010-01-01,16
43988,2010-01-01,82
2992,2010-01-01,230
2977,2010-01-01,42
43997,2010-01-01,177
3091,2010-01-01,161
44024,2010-01-01,125
43752,2010-01-01,59
43745,2010-01-01,39
43537,2010-01-01,225
3387,2010-01-01,13
43546,2010-01-01,97
43553,2010-01-01,14
43590,2010-01-01,19
3365,2010-01-01,18
43599,2010-01-01,65
43600,2010-01-01,25
43617,2010-01-01,48
3277,2010-01-01,58
3182,2010-01-01,38
3274,2010-01-01,38
43626,2010-01-01,25
3266,2010-01-01,3
43640,2010-01-01,1
