UserID,month_%
5493,0.875
5841,0.75
4448,0.75
5689,0.75
5359,0.75
5367,0.75
5539,0.75
5208,0.75
5812,0.75
3681,0.625
5413,0.625
4697,0.625
5620,0.625
5096,0.625
5333,0.625
4465,0.625
5250,0.625
3512,0.625
3688,0.625
5458,0.625
5972,0.625
5948,0.625
4169,0.625
5737,0.625
4277,0.625
5675,0.625
4126,0.625
5626,0.625
5585,0.5
3430,0.5
3454,0.5
3842,0.5
3982,0.5
5621,0.5
5880,0.5
4005,0.5
3963,0.5
3792,0.5
3833,0.5
5090,0.5
3412,0.5
5267,0.5
5520,0.5
3691,0.5
4387,0.5
3378,0.5
5788,0.5
3391,0.5
4449,0.5
5831,0.5
3518,0.5
4258,0.5
5300,0.5
4116,0.5
3504,0.5
3503,0.5
5874,0.5
3591,0.5
4951,0.5
5322,0.5
5097,0.5
4823,0.5
4802,0.5
4682,0.5
4816,0.5
5060,0.5
4875,0.5
4600,0.5
5242,0.5
5636,0.5
4647,0.5
3592,0.375
3367,0.375
5412,0.375
3363,0.375
4411,0.375
6002,0.375
4611,0.375
5923,0.375
5428,0.375
4639,0.375
3673,0.375
4531,0.375
5785,0.375
5470,0.375
5468,0.375
3650,0.375
3610,0.375
4580,0.375
5927,0.375
6016,0.375
4386,0.375
6040,0.375
3312,0.375
4751,0.375
4784,0.375
3299,0.375
5595,0.375
4765,0.375
4305,0.375
4868,0.375
4774,0.375
5886,0.375
4089,0.375
4861,0.375
4084,0.375
4858,0.375
4771,0.375
4795,0.375
5949,0.375
4312,0.375
5433,0.375
5450,0.375
5996,0.375
3624,0.375
3475,0.375
5278,0.375
3807,0.375
5305,0.375
5241,0.375
5046,0.375
4002,0.375
5289,0.375
5233,0.375
3942,0.375
5114,0.375
3733,0.375
3732,0.375
3824,0.375
4579,0.375
3821,0.375
5113,0.375
3704,0.375
4933,0.375
5008,0.375
5034,0.375
5087,0.375
4950,0.375
4937,0.375
5091,0.375
3840,0.375
3885,0.375
5312,0.375
5251,0.375
5100,0.375
4578,0.375
3462,0.375
4593,0.375
5395,0.375
4471,0.375
3483,0.375
5184,0.375
5173,0.375
3428,0.375
3423,0.375
5386,0.375
3562,0.375
4517,0.375
5265,0.375
4520,0.375
3540,0.375
3453,0.375
5256,0.375
3441,0.375
3435,0.375
3150,0.375
5782,0.375
5576,0.375
2859,0.375
5733,0.375
3158,0.375
2868,0.375
3097,0.375
3093,0.375
5677,0.375
2847,0.375
3471,0.375
2849,0.375
3154,0.375
2860,0.375
3224,0.375
3266,0.375
3106,0.375
5488,0.375
5644,0.375
2828,0.375
3080,0.375
3203,0.375
3128,0.375
2841,0.375
3058,0.375
2786,0.375
3159,0.375
2895,0.375
5536,0.375
3031,0.375
5557,0.375
5522,0.375
2878,0.375
5580,0.375
5543,0.375
4979,0.25
2063,0.25
1639,0.25
884,0.25
1647,0.25
4983,0.25
1969,0.25
2079,0.25
1875,0.25
1837,0.25
2076,0.25
4992,0.25
1779,0.25
3001,0.25
2071,0.25
5978,0.25
5053,0.25
5074,0.25
2106,0.25
4656,0.25
1556,0.25
4497,0.25
4499,0.25
4502,0.25
4653,0.25
3015,0.25
1778,0.25
4504,0.25
1960,0.25
4918,0.25
1678,0.25
5064,0.25
3014,0.25
5044,0.25
3013,0.25
5047,0.25
2105,0.25
1671,0.25
5049,0.25
4995,0.25
5054,0.25
2082,0.25
5063,0.25
1655,0.25
4948,0.25
1657,0.25
3952,0.25
3717,0.25
3768,0.25
3778,0.25
2350,0.25
3492,0.25
3971,0.25
3970,0.25
3967,0.25
3965,0.25
2889,0.25
2331,0.25
3953,0.25
2316,0.25
1839,0.25
1737,0.25
3946,0.25
1752,0.25
2885,0.25
2803,0.25
2814,0.25
2272,0.25
2271,0.25
3995,0.25
3834,0.25
2255,0.25
1698,0.25
1733,0.25
1759,0.25
3729,0.25
2609,0.25
4958,0.25
2781,0.25
2779,0.25
2793,0.25
2872,0.25
4508,0.25
2691,0.25
2866,0.25
2688,0.25
2641,0.25
2593,0.25
5015,0.25
3829,0.25
3819,0.25
2583,0.25
1758,0.25
2574,0.25
1724,0.25
2876,0.25
3822,0.25
2896,0.25
2634,0.25
2627,0.25
3695,0.25
3757,0.25
4489,0.25
1806,0.25
2092,0.25
1928,0.25
4899,0.25
1902,0.25
1449,0.25
2176,0.25
1426,0.25
4791,0.25
4790,0.25
4813,0.25
1301,0.25
4815,0.25
4842,0.25
1941,0.25
4831,0.25
1420,0.25
1285,0.25
1421,0.25
4821,0.25
2195,0.25
1425,0.25
4829,0.25
1437,0.25
1413,0.25
4700,0.25
1356,0.25
4624,0.25
4540,0.25
4541,0.25
4543,0.25
4902,0.25
4903,0.25
1897,0.25
2208,0.25
2131,0.25
4454,0.25
1284,0.25
4753,0.25
2125,0.25
1470,0.25
4748,0.25
2122,0.25
1959,0.25
2120,0.25
1954,0.25
4728,0.25
4727,0.25
1467,0.25
1329,0.25
1274,0.25
4869,0.25
1333,0.25
1451,0.25
4867,0.25
1952,0.25
1484,0.25
1343,0.25
2168,0.25
1347,0.25
4911,0.25
1917,0.25
4619,0.25
1926,0.25
1812,0.25
2008,0.25
4673,0.25
1383,0.25
1866,0.25
2917,0.25
1865,0.25
1998,0.25
4480,0.25
4482,0.25
2020,0.25
4468,0.25
4456,0.25
4457,0.25
2018,0.25
4691,0.25
1858,0.25
4458,0.25
4459,0.25
2936,0.25
4680,0.25
4667,0.25
4509,0.25
4510,0.25
2239,0.25
4649,0.25
1369,0.25
2935,0.25
3029,0.25
4674,0.25
4522,0.25
2181,0.25
4591,0.25
1389,0.25
2116,0.25
4523,0.25
2962,0.25
1395,0.25
1983,0.25
2030,0.25
4634,0.25
2919,0.25
4532,0.25
2022,0.25
1804,0.25
4585,0.25
2904,0.25
1851,0.25
2050,0.25
2918,0.25
1404,0.25
2946,0.25
2047,0.25
4562,0.25
1386,0.25
4551,0.25
2054,0.25
1354,0.25
4561,0.25
4592,0.25
2244,0.25
3908,0.25
3857,0.25
760,0.25
1597,0.25
1579,0.25
3278,0.25
1125,0.25
1186,0.25
3272,0.25
1181,0.25
1164,0.25
770,0.25
767,0.25
1584,0.25
4164,0.25
758,0.25
1130,0.25
754,0.25
752,0.25
749,0.25
743,0.25
4058,0.25
795,0.25
4039,0.25
796,0.25
4031,0.25
4030,0.25
787,0.25
783,0.25
4353,0.25
4356,0.25
737,0.25
1260,0.25
1019,0.25
1120,0.25
1228,0.25
1224,0.25
1220,0.25
1219,0.25
1217,0.25
4406,0.25
1211,0.25
1611,0.25
1266,0.25
1264,0.25
1246,0.25
3229,0.25
1244,0.25
4322,0.25
1242,0.25
1241,0.25
4327,0.25
1124,0.25
4384,0.25
4381,0.25
1141,0.25
1137,0.25
3233,0.25
4367,0.25
739,0.25
4310,0.25
2307,0.25
846,0.25
957,0.25
4217,0.25
953,0.25
943,0.25
935,0.25
894,0.25
890,0.25
855,0.25
862,0.25
3163,0.25
3292,0.25
3300,0.25
3340,0.25
904,0.25
3331,0.25
864,0.25
840,0.25
838,0.25
823,0.25
822,0.25
3313,0.25
3311,0.25
3327,0.25
3192,0.25
3196,0.25
3200,0.25
929,0.25
914,0.25
4085,0.25
725,0.25
692,0.25
3261,0.25
687,0.25
736,0.25
3259,0.25
676,0.25
674,0.25
673,0.25
671,0.25
707,0.25
735,0.25
727,0.25
721,0.25
1268,0.25
4241,0.25
1590,0.25
716,0.25
714,0.25
712,0.25
3217,0.25
3285,0.25
711,0.25
710,0.25
811,0.25
3182,0.25
1650,0.25
3594,0.25
3033,0.25
1033,0.25
3516,0.25
3557,0.25
2478,0.25
1635,0.25
1527,0.25
3424,0.25
2436,0.25
3457,0.25
1546,0.25
3481,0.25
3509,0.25
1789,0.25
2414,0.25
3053,0.25
3561,0.25
3036,0.25
3074,0.25
3069,0.25
3532,0.25
3464,0.25
2454,0.25
2453,0.25
1884,0.25
1499,0.25
1501,0.25
3520,0.25
3476,0.25
2528,0.25
3413,0.25
1034,0.25
3894,0.25
2303,0.25
2832,0.25
3845,0.25
3853,0.25
3916,0.25
2826,0.25
2514,0.25
2825,0.25
3201,0.25
3888,0.25
3892,0.25
3900,0.25
3590,0.25
1717,0.25
2810,0.25
3437,0.25
3546,0.25
2844,0.25
2520,0.25
2544,0.25
2802,0.25
3452,0.25
3112,0.25
3410,0.25
3411,0.25
1716,0.25
3519,0.25
3065,0.25
3524,0.25
984,0.25
3386,0.25
3390,0.25
