UserID,month_%
B00EQO0GB4,1.0
B00136RVG6,1.0
B001O3UEOE,1.0
B00HW0J51Q,1.0
B001OFZRXA,1.0
B001OFZRZ8,1.0
B001FJ2JAE,1.0
B0011WDZGW,1.0
B0084165ME,1.0
B001O3CSR0,1.0
B003PY3DSO,1.0
B00HW0HYBO,1.0
B0083WM9F6,1.0
B0011XCZ1M,1.0
B0083GCZQA,1.0
B00136JF8I,1.0
B001O3KLAG,1.0
B00EP550SS,1.0
B001O7SVLI,1.0
B000TDSPJG,1.0
B00929NZES,1.0
B00920DUW4,1.0
B00920DUI8,1.0
B0092MKUNY,1.0
B00HW0JYO4,1.0
B00920DU6A,1.0
B00EOKQBHS,1.0
B00EO9XY06,1.0
B00HXCHEX4,1.0
B00EOFP8NG,1.0
B000V63C4Y,1.0
B008ZEIAYQ,1.0
B00HW0JBJM,1.0
B001F3FZVK,1.0
B001OEY1T2,1.0
B00137QWBK,1.0
B008HD5O94,1.0
B008E5YZ6S,1.0
B001NYRPM8,1.0
B00123F8Y2,1.0
B0081FO5ES,1.0
B0011W3VXO,1.0
B008FVKSBC,1.0
B0011Z8OFQ,1.0
B008DZS61O,1.0
B001NYPOQM,1.0
B000W216ZY,1.0
B008GVTSL2,1.0
B00137IDYY,1.0
B001HEZVDE,1.0
B001224ZRY,1.0
B00136JF9M,1.0
B0081QXPGG,1.0
B001GH1ZQE,1.0
B00HYPANQU,1.0
B0083EXE76,1.0
B008591TBW,1.0
B00136JD9Y,1.0
B003NJVBPS,1.0
B000W239UY,1.0
B0085LE53O,1.0
B0083EYC4A,1.0
B003VXHTG6,1.0
B0083EW97W,1.0
B006H3EYII,1.0
B006H1ME5A,1.0
B00HZ2PJ0M,1.0
B007ZMC572,1.0
B007ZMC3UG,1.0
B00HZ2PJMU,1.0
B00HWLZ16I,1.0
B000TDSRVM,1.0
B000WGMNPC,1.0
B005UYZ5CO,1.0
B00GT1TP1O,1.0
B005SUVLQY,1.0
B0070PUXSC,1.0
B00GTB85C4,1.0
B00G4U7U26,1.0
B00G4M9L1C,1.0
B00GS5DX3M,1.0
B005T18DOK,1.0
B001W0BHF4,1.0
B000V6RA5G,1.0
B00136RVCU,1.0
B00AU1L44K,1.0
B00AU1L292,1.0
B00AY9UGCY,1.0
B0011Z74IO,1.0
B00GT4597A,1.0
B0011Z8O2O,1.0
B00FY9PGJ2,1.0
B00ANGVEJM,1.0
B00136LEMS,1.0
B00AN93RHQ,1.0
B00AN93Q0O,1.0
B0012F8RKW,1.0
B0026F2M5I,1.0
B00138ICVW,1.0
B00AOMSQPU,1.0
B000VZMO6C,1.0
B00123FVSA,1.0
B000SX8ASS,1.0
B0026BI3OQ,1.0
B00AO7CE6C,1.0
B000TEL0BK,1.0
B00137GL0M,1.0
B001VFSNYS,1.0
B00AYNG9BC,1.0
B008S50NEW,1.0
B008XCJ0KI,1.0
B001GFKIBE,1.0
B006KYH2G0,1.0
B008MN9DFA,1.0
B00G3J0CU0,1.0
B002BPH1F4,1.0
B00GPCJHI8,1.0
B000VZKP8G,1.0
B0011Z8OFG,1.0
B00GPFZOXM,1.0
B0013D6QP6,1.0
B0092MKTWQ,1.0
B0092MKTL2,1.0
B0092MJB0M,1.0
B003R8FBP6,1.0
B00GPLAWZQ,1.0
B006L5O9GY,1.0
B00G25WMCG,1.0
B008XGL872,1.0
B00123BCKQ,1.0
B008U8I380,1.0
B00G2IAIVK,1.0
B008V4LHLI,1.0
B00136J7ZE,1.0
B008VPW8T2,1.0
B008VPW9SM,1.0
B002A5UZPI,1.0
B001FXOL4W,1.0
B002AD9TMK,1.0
B002AEIK42,1.0
B002B2U6TU,1.0
B008HI6H18,1.0
B001HE0KJE,1.0
B0050VJ3XY,1.0
B0036NUB6Q,1.0
B01929H4VM,1.0
B000T1EJ0W,1.0
B0096RLJTY,1.0
B0039F9ZHM,1.0
B0094OLFUW,1.0
B0039W489K,1.0
B00940XET6,1.0
B000V64UXQ,1.0
B00940XE8W,1.0
B00940XDF6,1.0
B0093DNX04,1.0
B0093DNVPG,1.0
B00932N8H8,1.0
B003A7YL64,1.0
B00H4KX4IY,1.0
B006OITIWS,1.0
B001CS12DS,1.0
B009KGKF3M,1.0
B00OVKKUW8,1.0
B00O6YW8JM,1.0
B009KUA7AE,1.0
B006M6W0AY,1.0
B00ET7IFHK,1.0
B001GUJD2O,1.0
B005AABV6M,1.0
B00330UFQS,1.0
B00OV9SBO8,1.0
B00961ZGQC,1.0
B00961YP3M,1.0
B00137UREI,1.0
B00330WKMA,1.0
B00970FKQ8,1.0
B009470G2C,1.0
B019I9ZVBQ,1.0
B0089T17YM,1.0
B00508XP8G,1.0
B000E6UXV6,1.0
B00Y23I2PQ,1.0
B002X9RH2K,1.0
B00EQNZF48,1.0
B001CKWT74,1.0
B00313Z08A,1.0
B0031DMRF4,1.0
B009AKJLYW,1.0
B007LE341K,1.0
B0031IL5RA,1.0
B012JA3M2G,1.0
B0050N8O7I,1.0
B002ZG982S,1.0
B005AJ8A94,1.0
B0011W7GKS,1.0
B00WHC50NG,1.0
B0038YID1S,1.0
B01E8ZF3D6,1.0
B004YRFY1U,1.0
B001CP3OZA,1.0
B001D232KE,1.0
B009474IQ2,1.0
B00598WMTK,1.0
B00973AF0G,1.0
B0099G7KDQ,1.0
B002WQ0TN8,1.0
B00137SYLQ,1.0
B0099G6UPU,1.0
B00EP6OLJ6,1.0
